game_id,team,number,player_name,player_url,starter,min,pts,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,fgm,fga,fg_pct,ftm,fta,ft_pct,def,off,reb,pf,pfa,stl,to,ast,blk,blka,rate
741615,מ.ס צפת,4,טל חדד,https://ibasketball.co.il/player/2168ec24647997f2-91576759/,0,12,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,3,3,3,0,1,3,0,0,0,-1
741615,מ.ס צפת,7,שלו מוריוסף,https://ibasketball.co.il/player/2568eec0f851d6f7-60188632/,0,9,2,0,3,0.0,0,3,0.0,0,6,0.0,2,2,100.0,1,1,2,2,3,0,1,2,0,0,0
741615,מ.ס צפת,5,צחי יתאח,https://ibasketball.co.il/player/3568eec10b0c3d06-33551099/,0,9,3,1,1,100.0,0,0,0.0,1,1,100.0,1,1,100.0,5,0,5,1,2,0,2,0,0,0,7
741615,מ.ס צפת,23,אור חן,https://ibasketball.co.il/player/3968ec2f4b9d8b96-86056806/,0,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,2,0,0,0,0,4
741611,"מכבי פ""ת",10,גל גילינסקי,https://ibasketball.co.il/player/2768eeac07cb8724-55575846/,1,37,26,8,9,88.9,2,6,33.3,10,15,66.7,4,7,57.1,8,1,9,3,6,2,5,10,0,2,35
741611,"מכבי פ""ת",11,קורן ז'ורנו,https://ibasketball.co.il/player/2868eeac0e92a829-22498885/,1,32,23,1,2,50.0,6,11,54.5,7,13,53.8,3,6,50.0,7,0,7,2,5,2,4,5,0,1,26
741611,"מכבי פ""ת",1,טרה מקולום,https://ibasketball.co.il/player/1568eeabff84b0b5-09497383/,1,30,19,2,5,40.0,5,8,62.5,7,13,53.8,0,1,0.0,4,1,5,5,2,1,2,0,1,0,14
741611,"מכבי פ""ת",84,אופיר גולדשטיין,https://ibasketball.co.il/player/3768eeac304ece23-00608369/,1,27,7,3,10,30.0,0,0,0.0,3,10,30.0,1,1,100.0,2,4,6,5,3,0,5,2,2,2,1
741611,"מכבי פ""ת",19,שגיב גורמן,https://ibasketball.co.il/player/2868eeac15a0f347-69735219/,1,27,5,1,3,33.3,1,4,25.0,2,7,28.6,0,0,0.0,0,0,0,4,0,2,3,1,0,0,-4
741611,"מכבי פ""ת",6,אייל ננקין,https://ibasketball.co.il/player/3868eeac2eed8854-76710835/,0,26,9,2,4,50.0,1,1,100.0,3,5,60.0,2,2,100.0,3,1,4,2,4,4,1,2,0,1,17
741611,"מכבי פ""ת",13,יהונתן זלאיט,https://ibasketball.co.il/player/3368eeac33a42b65-33605976/,0,13,4,2,2,100.0,0,1,0.0,2,3,66.7,0,0,0.0,1,1,2,3,0,0,0,0,1,0,3
741611,"מכבי פ""ת",7,נעם נאור,https://ibasketball.co.il/player/2468eeac12ecec05-10145112/,0,4,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,0,-1
741611,"מכבי פ""ת",12,ניב פילוסוף,https://ibasketball.co.il/player/3968ec2e1c4e47e9-21738688/,0,3,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,0,1,2,0,0,0,0,0,0,-2
741611,"מכבי פ""ת",5,שליו מרדכי זן,https://ibasketball.co.il/player/3968eeac3cda5842-38737149/,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
741611,אליצור יבנה,24,איאן מרטינז,https://ibasketball.co.il/player/1068ef71031bfd75-83013527/,1,35,17,6,9,66.7,0,3,0.0,6,12,50.0,5,8,62.5,4,1,5,4,7,4,2,4,1,0,23
741611,אליצור יבנה,14,סי ג'יי ווקר,https://ibasketball.co.il/player/1768ec234a9fb396-50274775/,1,33,21,10,18,55.6,0,0,0.0,10,18,55.6,1,5,20.0,7,5,12,2,4,2,1,5,0,1,28
741611,אליצור יבנה,4,שגיב דוד,https://ibasketball.co.il/player/2168ec235e946994-86645568/,1,32,9,0,0,0.0,3,7,42.9,3,7,42.9,0,0,0.0,2,1,3,1,0,1,1,2,3,0,12
741611,אליצור יבנה,2,עוז חולי,https://ibasketball.co.il/player/3568ec2dd2e10648-71454090/,1,30,22,8,12,66.7,1,3,33.3,9,15,60.0,3,5,60.0,4,1,5,4,6,4,6,2,1,1,21
741611,אליצור יבנה,8,אור פורר,https://ibasketball.co.il/player/2868ec267038f742-49766555/,1,23,11,2,5,40.0,2,2,100.0,4,7,57.1,1,2,50.0,2,0,2,2,2,2,3,2,0,2,7
741611,אליצור יבנה,11,אורי חי,https://ibasketball.co.il/player/2368ec2423a9a326-49584904/,0,20,10,1,1,100.0,2,5,40.0,3,6,50.0,2,4,50.0,1,0,1,4,4,0,1,0,0,0,5
741611,אליצור יבנה,23,עידן אברהם,https://ibasketball.co.il/player/2568ec2556b29921-66524290/,0,12,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,1,0,1,0,0,5
741611,אליצור יבנה,18,יהלי שושן,https://ibasketball.co.il/player/3068ec2ee7cab635-65770631/,0,5,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,-2
741611,אליצור יבנה,12,עומר אל על,https://ibasketball.co.il/player/2568ec2416ab4e85-60234242/,0,4,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,-1
741611,אליצור יבנה,7,ארי עמיאל,https://ibasketball.co.il/player/3368ec3061e0d007-16328786/,0,4,1,0,1,0.0,0,0,0.0,0,1,0.0,1,2,50.0,0,0,0,2,3,0,1,1,0,0,0
